"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Map1lc3a3",2.86943436993539e-12,1.34617228149716,0.952,0.649,4.60400744656133e-08,"9","Map1lc3a"
"Flna2",3.11631280144385e-12,0.781844418501394,1,0.654,5.00012388991665e-08,"9","Flna"
"Daam23",3.18535147134794e-12,1.92866018974362,0.405,0.087,5.11089643577777e-08,"9","Daam2"
"Snap471",3.63392737549077e-12,2.19470064502951,0.452,0.113,5.83063647397494e-08,"9","Snap47"
"Nrbp2",5.42969699262001e-12,2.50026115737536,0.357,0.074,8.71194882465881e-08,"9","Nrbp2"
"Ift433",6.44366748884069e-12,1.93646926804385,0.619,0.22,1.03388644858449e-07,"9","Ift43"
"Hoxd101",7.43845413012958e-12,2.96813122228616,0.262,0.044,1.19349996517929e-07,"9","Hoxd10"
"Jmjd8",8.74798076867149e-12,2.23154354062669,0.357,0.074,1.40361351433334e-07,"9","Jmjd8"
"Nbl14",1.0580689111037e-11,1.25409720515342,0.929,0.64,1.69767156786588e-07,"9","Nbl1"
"mt-Co12",1.14490402321662e-11,0.779562304020319,1,0.919,1.83699850525106e-07,"9","mt-Co1"
"Asb21",1.16555739621795e-11,2.20792229143819,0.262,0.042,1.8701368422317e-07,"9","Asb2"
"Arl33",1.20815798955693e-11,1.40478715999045,0.81,0.33,1.93848949424409e-07,"9","Arl3"
"Cd1515",1.35791594140389e-11,1.57365796073962,0.738,0.299,2.17877612798254e-07,"9","Cd151"
"Wfdc13",1.39279751535494e-11,1.34328275453579,0.881,0.397,2.23474361338699e-07,"9","Wfdc1"
"Tecr4",1.52797383046999e-11,1.46162409548543,0.905,0.484,2.4516340109891e-07,"9","Tecr"
"Hip1",1.60593843608443e-11,2.79820304308541,0.262,0.044,2.57672822069747e-07,"9","Hip1"
"Dact31",1.64562709530811e-11,1.92821569896213,0.619,0.206,2.64040867442187e-07,"9","Dact3"
"Hand23",1.83608281081444e-11,2.25409926203898,0.357,0.077,2.94599486995177e-07,"9","Hand2"
"Gapdh6",1.9995387909729e-11,1.21370261653686,0.976,0.745,3.20825999011602e-07,"9","Gapdh"
"Srp143",2.21405668134385e-11,1.36301391959518,0.905,0.506,3.55245394521621e-07,"9","Srp14"
"Ndufa16",2.3143235440068e-11,1.195415727734,0.929,0.522,3.71333212635891e-07,"9","Ndufa1"
"Atp6v1e12",2.45269506106743e-11,1.71232859751289,0.81,0.416,3.9353492254827e-07,"9","Atp6v1e1"
"Arl6ip13",2.64986649645789e-11,1.52099645686457,0.833,0.413,4.25171079356669e-07,"9","Arl6ip1"
"Adrb1",3.20740838199378e-11,2.4755159712052,0.286,0.052,5.14628674890902e-07,"9","Adrb1"
"Gm284382",3.84968099003947e-11,1.65549128406851,0.643,0.223,6.17681314851833e-07,"9","Gm28438"
"Oxct11",4.06827742123536e-11,1.25101511067747,0.833,0.456,6.52755112237213e-07,"9","Oxct1"
"Ndufc24",4.42134661976426e-11,1.31938700853521,0.905,0.508,7.09405065141175e-07,"9","Ndufc2"
"Tpi15",4.66250406660921e-11,1.34741227207897,0.881,0.516,7.48098777487449e-07,"9","Tpi1"
"Ppp2r2b",4.95372792459559e-11,2.65360012100621,0.286,0.054,7.94825645501362e-07,"9","Ppp2r2b"
"Lrba2",5.31868018636859e-11,1.9567072659509,0.524,0.152,8.5338223590284e-07,"9","Lrba"
"Cnn11",5.51504423909086e-11,0.665995872361015,0.429,0.097,8.84888848162129e-07,"9","Cnn1"
"Pkm5",5.75785289477053e-11,1.28229607494898,0.905,0.564,9.23847496965931e-07,"9","Pkm"
"Ivd",6.45394683577269e-11,2.19643012622873,0.381,0.091,1.03553576979973e-06,"9","Ivd"
"Ndufb93",7.08478617621167e-11,1.11777126959136,0.952,0.623,1.13675394197316e-06,"9","Ndufb9"
"B230118H07Rik",7.805036511019e-11,2.02048751442147,0.405,0.1,1.252318108193e-06,"9","B230118H07Rik"
"Cd95",8.85747989184745e-11,1.04805604617671,1,0.801,1.42118264864692e-06,"9","Cd9"
"Cox7a23",1.02652473103252e-10,1.15166076774689,0.976,0.636,1.64705893094168e-06,"9","Cox7a2"
"Nudt32",1.25182608006586e-10,1.57285738634761,0.548,0.164,2.00855494546568e-06,"9","Nudt3"
"Atp5mpl3",1.25378564642241e-10,1.14940415914815,0.929,0.537,2.01169906968475e-06,"9","Atp5mpl"
"Tpcn11",1.2690534240647e-10,1.75409966760319,0.548,0.175,2.03619621891181e-06,"9","Tpcn1"
"Apbb1",1.43872291712474e-10,2.02094934884196,0.405,0.103,2.30843092052664e-06,"9","Apbb1"
"Got1",1.45403074523964e-10,1.62470246029531,0.5,0.141,2.33299233073701e-06,"9","Got1"
"Pyurf",1.50437333054557e-10,2.52506970399395,0.31,0.066,2.41376700886037e-06,"9","Pyurf"
"Mdh23",1.50651968011869e-10,1.45267623555185,0.857,0.432,2.41721082675044e-06,"9","Mdh2"
"Rsph9",1.51153098782049e-10,2.38808771057127,0.333,0.072,2.42525146995798e-06,"9","Rsph9"
"Uqcrfs12",1.63713031569827e-10,1.41413867781448,0.762,0.324,2.62677559153787e-06,"9","Uqcrfs1"
"Cnn23",1.83502205588168e-10,1.39854038859684,0.714,0.297,2.94429288866215e-06,"9","Cnn2"
"Stbd1",1.8600091564461e-10,2.29672801037381,0.286,0.055,2.98438469151776e-06,"9","Stbd1"
"Ptp4a3",2.23026728147098e-10,2.09250984257827,0.405,0.106,3.5784638531202e-06,"9","Ptp4a3"
"Tnfaip81",2.27924422833907e-10,1.71847838954631,0.5,0.149,3.65704736437005e-06,"9","Tnfaip8"
"Dock91",2.34755967426748e-10,1.90890776607492,0.476,0.142,3.76665949736217e-06,"9","Dock9"
"Afdn1",2.44260031930729e-10,1.64379987075904,0.619,0.221,3.91915221232855e-06,"9","Afdn"
"Rtl8a2",2.72798829520741e-10,1.8398625896208,0.548,0.176,4.37705721966029e-06,"9","Rtl8a"
"Scarb23",2.86025743338435e-10,1.25592350427378,0.905,0.592,4.58928305186518e-06,"9","Scarb2"
"Clpp1",3.19890090283789e-10,1.72781542099981,0.619,0.23,5.13263649860339e-06,"9","Clpp"
"Sec11c3",3.22185317294762e-10,1.72857635062766,0.548,0.183,5.16946341599445e-06,"9","Sec11c"
"App2",3.38006103894441e-10,1.41033129143228,0.952,0.728,5.42330793698631e-06,"9","App"
"Mrpl203",3.4795410580622e-10,1.45988122393215,0.786,0.371,5.5829236276608e-06,"9","Mrpl20"
"Atp1a14",3.61662650935245e-10,1.38640897637585,0.833,0.421,5.80287723425601e-06,"9","Atp1a1"
"Efcab151",4.34098520897833e-10,2.40861046978379,0.286,0.057,6.96511076780573e-06,"9","Efcab15"
"Atp2c11",4.44644357946693e-10,1.89172862002534,0.524,0.177,7.13431872325468e-06,"9","Atp2c1"
"Cux12",4.68037597605192e-10,1.35747743390757,0.81,0.373,7.50966325357531e-06,"9","Cux1"
"Adgrl12",4.93200954154609e-10,1.37562861236373,0.714,0.286,7.9134093094107e-06,"9","Adgrl1"
"Atp6v0e23",5.34719989155598e-10,2.09419067137644,0.405,0.109,8.57958222600157e-06,"9","Atp6v0e2"
"Rgma1",5.46288854144277e-10,1.78208068628098,0.429,0.113,8.76520466474493e-06,"9","Rgma"
"H1f10",6.18051230726325e-10,1.92556608277768,0.333,0.074,9.91663199700388e-06,"9","H1f10"
"Slc12a23",6.48956876171637e-10,1.32615783949127,0.524,0.167,1.04125130781739e-05,"9","Slc12a2"
"Vdac23",7.1780154000363e-10,1.34876344596594,0.833,0.399,1.15171257093582e-05,"9","Vdac2"
"Srgap3",8.21023322307137e-10,2.47189926411851,0.262,0.051,1.3173319206418e-05,"9","Srgap3"
